asset,type,ann_vol,n_obs
midnight-3_usd,crypto,4.710626402461433,18
figure-heloc_usd,crypto,4.0226069185323645,123
memecore_usd,crypto,2.4174029026927055,177
aster-2_usd,crypto,2.134845392590974,99
rain_usd,crypto,1.903006023517599,107
pump-fun_usd,crypto,1.6127517737815305,166
canton-network_usd,crypto,1.5497833424403185,47
pi-network_usd,crypto,1.485357780869363,310
hash-2_usd,crypto,1.4339044377538677,212
ethena_usd,crypto,1.3440403889052825,366
zcash_usd,crypto,1.3222806818968087,366
official-trump_usd,crypto,1.275456685628391,343
world-liberty-financial_usd,crypto,1.230495335809837,117
worldcoin-wld_usd,crypto,1.2236882251755852,366
okb_usd,crypto,1.15438334160296,366
pepe_usd,crypto,1.1193474091910196,366
filecoin_usd,crypto,1.0958689871039655,366
arbitrum_usd,crypto,1.0890527979874705,366
uniswap_usd,crypto,1.0727672878182388,366
bittensor_usd,crypto,1.0616126953553382,366
internet-computer_usd,crypto,1.0550643609371075,366
hyperliquid_usd,crypto,1.0503511526827067,366
sui_usd,crypto,1.0392843582587779,366
cardano_usd,crypto,1.0369822478389807,366
mantle_usd,crypto,1.0112738990506367,366
kaspa_usd,crypto,1.004097978232324,366
near_usd,crypto,0.9938426567028233,366
aave_usd,crypto,0.9746503724169046,366
algorand_usd,crypto,0.9471739721360294,366
ondo-finance_usd,crypto,0.945682707308719,366
dogecoin_usd,crypto,0.9384252083685405,366
crypto-com-chain_usd,crypto,0.9373775926542103,366
avalanche-2_usd,crypto,0.9319795851564142,366
hedera-hashgraph_usd,crypto,0.9301644328008987,366
chainlink_usd,crypto,0.9167397769157294,366
aptos_usd,crypto,0.9083570694435923,366
sky_usd,crypto,0.8735969965468298,366
jito-staked-sol_usd,crypto,0.8657742042777452,366
wrapped-solana_usd,crypto,0.8656915014213464,366
binance-staked-sol_usd,crypto,0.8639197994543801,366
solana_usd,crypto,0.8604689015600213,366
polkadot_usd,crypto,0.8510016368221178,366
stellar_usd,crypto,0.849831627582024,366
cosmos_usd,crypto,0.8335795445051434,366
ripple_usd,crypto,0.8260724571628676,366
quant-network_usd,crypto,0.8230595199178455,366
polygon-ecosystem-token_usd,crypto,0.822396063473465,366
ethereum-classic_usd,crypto,0.7949483087253176,366
litecoin_usd,crypto,0.7923400013123939,366
shiba-inu_usd,crypto,0.7669859194737407,366
wrapped-beacon-eth_usd,crypto,0.7546607363365481,366
wrapped-steth_usd,crypto,0.7536301370349452,366
rocket-pool-eth_usd,crypto,0.7514189115522487,366
kelp-dao-restaked-eth_usd,crypto,0.7500665596784548,366
ethereum_usd,crypto,0.749657703793017,366
staked-ether_usd,crypto,0.7493730471737663,366
wrapped-eeth_usd,crypto,0.7493175528644468,366
weth_usd,crypto,0.7492789364183119,366
binance-peg-weth_usd,crypto,0.7482905731704118,366
bridged-wrapped-lido-staked-ether-scroll_usd,crypto,0.7431978888921414,366
xdce-crowd-sale_usd,crypto,0.7407572313097994,366
