,aave_usd,algorand_usd,aptos_usd,arbitrum_usd,aster-2_usd,avalanche-2_usd,bfusd_usd,binance-bridged-usdc-bnb-smart-chain_usd,binance-bridged-usdt-bnb-smart-chain_usd,binance-peg-weth_usd,binance-staked-sol_usd,binancecoin_usd,bitcoin-cash_usd,bitcoin_usd,bitget-token_usd,bittensor_usd,blackrock-usd-institutional-digital-liquidity-fund_usd,bridged-wrapped-lido-staked-ether-scroll_usd,canton-network_usd,cardano_usd,chainlink_usd,coinbase-wrapped-btc_usd,cosmos_usd,crypto-com-chain_usd,dai_usd,dogecoin_usd,ethena-staked-usde_usd,ethena-usde_usd,ethena_usd,ethereum-classic_usd,ethereum_usd,falcon-finance_usd,figure-heloc_usd,filecoin_usd,gatechain-token_usd,global-dollar_usd,hash-2_usd,hashnote-usyc_usd,hedera-hashgraph_usd,htx-dao_usd,hyperliquid_usd,ignition-fbtc_usd,internet-computer_usd,janus-henderson-anemoy-aaa-clo-fund_usd,jito-staked-sol_usd,jupiter-perpetuals-liquidity-provider-token_usd,kaspa_usd,kelp-dao-restaked-eth_usd,kucoin-shares_usd,leo-token_usd,litecoin_usd,lombard-staked-btc_usd,mantle_usd,memecore_usd,monero_usd,near_usd,official-trump_usd,okb_usd,ondo-finance_usd,pax-gold_usd,paypal-usd_usd,pepe_usd,pi-network_usd,polkadot_usd,polygon-ecosystem-token_usd,pump-fun_usd,quant-network_usd,rain_usd,ripple-usd_usd,ripple_usd,rocket-pool-eth_usd,shiba-inu_usd,sky_usd,solana_usd,solv-btc_usd,staked-ether_usd,stellar_usd,sui_usd,susds_usd,syrupusdc_usd,tether-gold_usd,tether_usd,the-open-network_usd,tron_usd,uniswap_usd,usd-coin_usd,usd1-wlfi_usd,usds_usd,usdt0_usd,wbnb_usd,weth_usd,whitebit_usd,world-liberty-financial_usd,worldcoin-wld_usd,wrapped-beacon-eth_usd,wrapped-bitcoin_usd,wrapped-eeth_usd,wrapped-solana_usd,wrapped-steth_usd,xdce-crowd-sale_usd,zcash_usd,AAPL,ADBE,AMZN,CRM,CSCO,GOOGL,IBM,INTC,META,MSFT,NFLX,NVDA,ORCL,PYPL,TSLA
aave_usd,1.0,0.759882141603576,0.7231295463763319,0.7882741088032895,0.3863253657017756,0.7583208981099043,0.11266639737580589,-0.09861811190037915,0.002072410089988436,0.829870829106762,0.7470992669013411,0.6193351596484412,0.5942430937016089,0.7602267942161953,0.45332489642281765,0.6555547830585803,,0.8306971264374489,0.2440080995715012,0.7362084146766904,0.8304972214274252,0.7598211339923114,0.7249795322672878,0.5715611751004508,0.05440362444841688,0.7760503062512388,0.19168147414471545,0.2459935279600942,0.6733821615667747,0.757934394315861,0.8321186299170492,0.13882050228046397,0.12615026654390382,0.6175702182254181,0.615319648653712,-0.03905362117721858,0.011352194181549152,0.08253824740553822,0.7177795345694531,0.4173097213572023,0.6170573628734007,0.7455730974407407,0.6132309163329837,0.14204089339278,0.7433778748134722,0.7823491201802822,0.6336798026776448,0.8321000559528043,0.5592109780566692,0.1594402447973655,0.6259259812583404,0.759258958596768,0.5268550171219495,0.02443504056381644,0.38391105024810696,0.7213409580059631,0.5525256625847961,0.31646899144850343,0.7566374060479789,0.043309389154430875,-0.039704684920312865,0.7602239498699552,0.29762729458426007,0.7562184404658086,0.7463183493779785,0.5768840134204085,0.6240543243013157,0.1727008564249787,-0.00793360028040242,0.7062426603422627,0.8302374984532112,0.7844595563674619,0.5516760480377562,0.7419346850316615,0.7526381852028918,0.8315734821640889,0.6691813005262448,0.7529953222623007,-0.04554011402738224,0.06301299230078032,0.01864561552552554,0.2712387062826313,0.6496275086181972,0.49107826592344606,0.73958978908033,0.06971136935835581,0.17831094663586186,0.07473485139514523,0.11479759129137154,0.6151500129226446,0.8311184596073421,0.3877941576653579,0.5973412645970645,0.6212462502507945,0.8350526573492664,0.762942403657196,0.8316621226776741,0.7427650539175363,0.8265544971973915,0.48397604181183235,0.35238181562104576,0.04406715871226905,0.06440530805413908,0.06148190067527897,0.06958926999284895,0.006538217588623163,0.07831339750320421,0.013185108903578376,0.07723252325658074,0.03306578112884838,0.052525059114948515,0.010987597632490612,0.030697808512760525,0.07528355364099525,0.04227881382909387,0.14416251596023746
algorand_usd,0.759882141603576,1.0,0.7960487634166881,0.8202396709877644,0.4263667513630595,0.8412527973779292,0.15641251588656258,-0.15347718386658066,-0.06619182666381182,0.7832398298350283,0.7652499972742972,0.6704253385235017,0.6278076647885917,0.7706852269707781,0.4539917430241048,0.7178811539511645,,0.7825573480784831,0.2431522496521998,0.7961373144686966,0.8566860045987541,0.7701850916368418,0.8210915861531142,0.6365021150573403,0.07267971363161665,0.8355185962039837,0.17391204143512132,0.19970225930661914,0.6957446596719762,0.8055661228644551,0.7841426107979595,0.09908684792233094,0.08550920020372771,0.7169765170658955,0.6077846005099405,-0.02167757416976454,0.052504851832811894,0.03194543107649132,0.8958447857819657,0.4480259326346172,0.596021256816268,0.7662469536520033,0.6839442161714948,0.14174549498574096,0.7688967377913684,0.7912914132277831,0.6983461129278314,0.7829348061793182,0.5159339791719896,0.2145124570001037,0.7474699384814772,0.7616240646169913,0.5648663986875061,0.05095385956489731,0.4384348076226021,0.8205062594611875,0.5179160514858743,0.3157531464748867,0.832724178691541,0.05044964649800379,-0.0717112773944473,0.8092359277742288,0.30016466033786804,0.8525653913893972,0.8426304613295224,0.5720826173627849,0.6665633902923992,0.04595894671312525,-0.08406357995473193,0.8247620968052971,0.7855409658635288,0.8436868761478208,0.5686781990845916,0.7565227408306191,0.7634415518634997,0.7830848343179038,0.8706131098338138,0.8068578803480384,-0.05850400420086408,0.01381934365052989,0.03413647813883811,0.23729940278502654,0.6865222055467899,0.5214399117898976,0.7433423128216788,0.03066281938767752,0.12310394168535121,0.04488384836346654,0.07800431336883794,0.6661407067402539,0.7828732632986322,0.37901536188958085,0.6824539497755685,0.726779470926747,0.7884578851135893,0.7713036543328837,0.7838037900360962,0.7676544637230571,0.7784768791811982,0.6153880346039158,0.40171293046567935,-0.0031396863190957763,0.02181195353000623,0.01613929878226854,0.007727129488270179,-0.02919448665475997,0.07756113720295518,0.049190139057421964,0.056905048800288405,-0.0067975733873335996,-0.005140531044757072,-0.06523609645616073,0.02325565596261954,0.006017832316639421,0.018366711890850262,0.12349923713117313
aptos_usd,0.7231295463763319,0.7960487634166881,1.0,0.8423371428499978,0.4316653744731552,0.8060406679612676,0.08391089661251935,-0.11273374513763118,-0.0417293465629212,0.7605585070263444,0.7344929086024778,0.6755262462191558,0.6208683408032056,0.6976184837099688,0.4745901972990017,0.6471425456749064,,0.7585192414326314,0.3904264910576726,0.694089241613417,0.8078562370821434,0.6977505386890759,0.828923654022355,0.5850581330630905,0.04378141919867705,0.8101766586148332,0.1125891546942007,0.12984157188983783,0.6660559346708221,0.8292613296781748,0.7631088584917608,0.12485499509685588,0.06763301063170139,0.7579503135718203,0.566697645015553,-0.019315614769595684,0.09126597451441548,0.034241657167296734,0.72486803151159,0.4479097692006221,0.5802847536671424,0.7011289536359969,0.6730588043754584,0.22414963417182776,0.7273152294632218,0.7486863747166164,0.6523645939215669,0.7636508536370388,0.5226156213508334,0.2166420854181622,0.7546593652331335,0.695190072939146,0.5347383717547406,0.024012333512945152,0.41829322413464964,0.8220798131827614,0.49055843932354865,0.3380747771284718,0.780153056111888,-0.02632380578787502,-0.044988645124361466,0.7997323462130698,0.31980062348737553,0.8641639434450985,0.8014794175327502,0.6169263419747365,0.6148853322533946,0.0805319219552661,-0.04975325731424947,0.6713202340345845,0.7652089031783991,0.8235877267194686,0.5659321089114335,0.7252618796917268,0.6935437072117933,0.7623513462064269,0.7000680841699063,0.7658256113131259,-0.013886758643200851,0.0610243112781524,-0.03361449744788632,0.15866174364516306,0.6842612437222712,0.495542728172837,0.73254096832109,0.08532382024769482,0.10009450720339763,0.07851644308360183,0.04173735175365692,0.6701461893092807,0.7606048653139045,0.38996446162121484,0.5708002993514741,0.7254574185666314,0.7670736511731256,0.6988257080358136,0.761217582680173,0.727783812747511,0.7614269089477775,0.5139724022013115,0.4193274598116229,0.08541044074354004,0.0498751624625888,0.06105962660504442,0.03804769567178609,0.026856012900260105,0.16430715281021724,0.08472674043223112,0.11966186898931612,0.008367371904138174,0.053082536587657776,-0.0896763019926455,0.08338563111033376,0.04741564448043952,0.02020080474330871,0.1301734837581607
arbitrum_usd,0.7882741088032895,0.8202396709877644,0.8423371428499978,1.0,0.4445117157477454,0.862314372528169,0.1325654477140668,-0.10282779257608596,-0.018617618786936126,0.8401460666765865,0.7560623036301802,0.6818160392354484,0.628829712215802,0.7201262564994951,0.513389113740889,0.699502068188191,,0.8379909936330724,0.3333979671944141,0.7479697845972366,0.8715793822588576,0.7188419213622633,0.8586638674832163,0.6064497965449976,0.09090583221926306,0.8783758967317569,0.1311696892224063,0.20838434243661078,0.7363957576709174,0.8707785564171949,0.8423879272836079,0.12996877859817207,0.09382764612325303,0.744658230351253,0.638159326331509,-0.012480246132838295,0.05734237722766612,0.04160267646423442,0.7452542393955901,0.4720647217132106,0.5980874445877423,0.7236193281414222,0.7256006351095426,0.2419911708359427,0.7456796094125626,0.7761705577999103,0.7059692108549216,0.8435658350651613,0.5452692405394347,0.17922526434840766,0.7398804998202544,0.7154351747695189,0.5629433009623173,0.08939309318618475,0.40669326437917297,0.8487220343567671,0.5650922142276946,0.4297160571544412,0.8154991265302202,0.02093963941997982,-0.05473586533197277,0.8658752820687785,0.32932077883663147,0.88933682166811,0.8603140130970737,0.5900719590147294,0.6456173581638575,0.11665074569329743,-0.03024913058789393,0.6915337753349882,0.84365287728277,0.8811976721617946,0.6104921936055626,0.7459852846780847,0.7186804819446581,0.8428909317468446,0.7122222486150336,0.801058690966574,-0.0034297072529428426,0.06675656619569098,-0.0048319057709666925,0.17518768836039725,0.7293496187437524,0.5025722256329935,0.7911481318532931,0.06397275176878321,0.08264215030457195,0.09227102960873018,0.07374085118364264,0.6786035850277217,0.8419584382153664,0.32924302555797247,0.680158211109351,0.7655206172834371,0.8470927640841514,0.7219798540287764,0.8419886811623005,0.7471672315667277,0.8398188746825364,0.5002591626779107,0.36879136631225484,0.05399922603495367,0.029082593293663965,0.030846629672946966,0.014345870570038236,-0.01741926865807419,0.11515649694368024,0.06724997003646503,0.10792207544838993,0.011446536635655011,0.04837825253882845,-0.038952117905951114,0.037139787347996,0.038013834593675196,0.048705349702392646,0.12350581705344692
aster-2_usd,0.3863253657017756,0.4263667513630595,0.4316653744731552,0.4445117157477454,1.0,0.40394050832122136,0.0980753044264808,-0.12667502462536862,0.06964112366203601,0.44662616570725505,0.46193015004522925,0.5592232801511818,0.26483410810808844,0.3976037122621525,0.5069084963722729,0.33499188202875063,,0.4439127039287862,0.19185287574453325,0.4226551606684489,0.45395125423926586,0.3957210353148907,0.42113884872552687,0.37286327807085207,0.06688652158314846,0.4691222614851323,-0.10205563879213447,0.12936401894416574,0.3841331852020569,0.41760540269956264,0.44506039766678007,0.07609876231423325,0.10734630431045052,0.28517844027854816,0.4230684478765198,-0.20085593660931123,0.050585405495982484,0.03615235422813164,0.40880526535733286,0.3593837911592682,0.31470146898555124,0.40583260062887816,0.3100496606116331,-0.07035000887190304,0.46158191195632237,0.46370588159675485,0.3549944151394963,0.4444437403924131,0.3989101254886433,0.1598594429836242,0.37073902409264536,0.4060245936778601,0.4804462845372796,0.06303048823487639,0.22214274495083297,0.4243980729241365,0.27416074613013575,0.37772742787547103,0.4531891950136172,0.06948714381570299,-0.06930745563707276,0.4456888897135708,0.22228562821920322,0.4569053012837621,0.41157405592424573,0.36331901514532633,0.3371512235226502,0.13350836894821944,0.049764955395297954,0.44710467816577854,0.453987270511921,0.45717398887571725,0.19164081451280138,0.46222723677559113,0.3816163694492574,0.44671965629058435,0.4443753630400439,0.43968794382553267,0.08325593086300441,0.1720832003492741,0.06884462926868117,0.0033424797179381527,0.41297185533891473,0.35893943735689643,0.3142230380337292,0.027514151019733583,0.20216823391411848,0.16668281775371022,0.08256012342480977,0.5599435106973185,0.4473494243186108,0.40283935154987444,0.32386246235534094,0.3969640175695906,0.4437627342716523,0.3992146514005086,0.4513510882073055,0.46343808463888164,0.44295433516838034,0.266381888353622,0.0608539229645059,0.006358247321086253,-0.0935458417765687,0.05536205968011364,-0.0930996792632793,0.18783775963902735,0.1899853227964208,0.21442717156609317,0.14499707895432695,0.07638196359685832,-0.07824190195664896,-0.02092930568263507,0.07180936573694047,-0.07831323266043785,0.05148019357610406,0.04489332951821902
avalanche-2_usd,0.7583208981099043,0.8412527973779292,0.8060406679612676,0.862314372528169,0.40394050832122136,1.0,0.16224509947043717,-0.1184182317060726,-0.06243256586461384,0.8203236448103576,0.7929135288962359,0.684954866997879,0.6667924178106375,0.7764164673465404,0.5023937968679066,0.6993401430861149,,0.8170135303575979,0.2631921288577139,0.7855047213920439,0.859718660906546,0.7734474637037135,0.8366043962917338,0.6675884798439551,0.08660500583701847,0.8576944653498634,0.14963313750985105,0.2259483901654755,0.692527859211557,0.8308458205301735,0.8219055089163533,0.09299450836281449,0.08521136604148696,0.7129660783481898,0.6499673091849394,-0.016444254352759684,0.07684256085268193,0.0668710572444257,0.7770284091201632,0.4649739830250092,0.6311472460412917,0.7770847735354578,0.7022921560042658,0.21288462668326844,0.7835280841485083,0.8074414153080455,0.7335897075989036,0.8212337475015964,0.5576146970397768,0.1924417334517685,0.7496587517684211,0.7688232454645054,0.5913782966029314,0.03851287820694967,0.42723690969434164,0.851270203038012,0.533296976183796,0.328829203452559,0.8322938331295405,0.03395422566640949,-0.06908715226474973,0.8404352919897723,0.31362143630560774,0.8806602725477174,0.8351909061142618,0.595065473593675,0.6610171348618608,0.06982445659677111,-0.04871524412394734,0.7480859513068354,0.8228292456121407,0.8486118357195637,0.5957900642168699,0.7817589785570747,0.7741119447247147,0.8208653882589136,0.7451105832795033,0.8036485980533796,-0.0252240314700173,0.08075474159882974,0.005046397249550067,0.21955583069654427,0.7212742263107798,0.48518366835982524,0.7536161270679057,0.05854760944926391,0.12513891899860177,0.09175800097859799,0.0757309343545407,0.6799776498120357,0.8210883045549152,0.35524018539655455,0.5933807562545963,0.7659427214631853,0.8287040455402311,0.7760407422183666,0.8207810112468322,0.784776918884236,0.8185225020691226,0.549246479721703,0.3830236696645026,0.04950091358756519,-0.01277270406600905,0.0243239505230151,0.023415582162810197,0.018663769992883262,0.10749355467904886,0.07520433180920105,0.08170262216141333,0.007092983372651672,0.020053587410701415,-0.0751103750710392,0.032100901679545955,0.04084438481187506,0.028843278647227095,0.16499351744161517
bfusd_usd,0.11266639737580589,0.15641251588656258,0.08391089661251935,0.1325654477140668,0.0980753044264808,0.16224509947043717,1.0,-0.0045725491189304,0.2172320261984144,0.1736867590414578,0.1829442210591464,0.1137946327104963,0.1894845751523867,0.16515123149612154,0.0022499403052055164,0.09107467940576766,,0.17196938970819028,0.2214244744963273,0.1342251511288464,0.11292420734895679,0.16531494588632487,0.06129772234913638,0.15109678575210547,0.16919020315167646,0.1571658524486592,0.1550983060382722,0.20845583385901303,0.14377885610974317,0.1616827150196802,0.1754794935739523,0.19520494054918403,-0.07711908434192874,0.006594490858018141,0.18475725517338232,0.23559026857606807,0.1337145409802168,-0.19733464410863155,0.15785385360766857,-0.13058417546070727,0.13846123940873545,0.18899346364366337,0.0892488656618649,-0.15824525781024684,0.18880275664290627,0.1945901314246785,0.09765191619658524,0.1741531364588934,0.14844329759102373,0.1574998556252229,0.11603825796425371,0.19689087822207052,0.04137414566188957,0.06631120266352675,-0.0021062031953258654,0.12402216346565821,0.07465248526868733,-0.0352993371126573,0.1845526711716338,-0.09960065996381938,-0.022970692889178506,0.11212311300766951,0.04783659771120085,0.09590992952367236,0.08936467415307021,0.16731845438432794,0.1005605395553174,0.04557612310097209,0.12237370758447516,0.2141803522371637,0.18078178949223375,0.15396545682429638,0.1281919301040005,0.18384935652405598,0.1772594275893011,0.17491498025251764,0.2486943648743872,0.16743060532740564,0.19754846663327702,0.12653553380933882,-0.09224394086724608,0.5909652405712109,0.025271678180275155,-0.04077260571019539,0.09039498588381696,0.20721963310111627,0.2644699721952074,0.029945281381124678,0.16942681407876184,0.11072850640339722,0.18112421980016116,0.22865867435845738,0.024915939663045398,0.15281337679256865,0.17444596443002106,0.1684523557154569,0.1821708391539052,0.1873586648662699,0.1735807889918592,0.15273509625864898,0.1318490811460698,-0.027008378690206204,-0.07475876581004633,-0.059949465990244595,-0.15186983629005804,0.06713059750173186,0.05232212831012089,0.007365958417411855,0.035429203864926206,-0.04326353574910862,-0.16640513072282026,-0.09578313897180453,0.035928990254348356,-0.08278929864644197,-0.1265089086773103,-0.1436653737935522
binance-bridged-usdc-bnb-smart-chain_usd,-0.09861811190037915,-0.15347718386658066,-0.11273374513763118,-0.10282779257608596,-0.12667502462536862,-0.1184182317060726,-0.0045725491189304,1.0,0.8396236704960723,-0.07120084773363386,-0.02451402521745587,-0.06689069502895437,-0.13759097241642865,-0.07785798279651943,-0.13303457342759345,-0.026956189286249602,,-0.08448839769696519,0.297527549209313,-0.07433730654841793,-0.04455484395781384,-0.08034278792492153,-0.15480334208536434,-0.08768712213499574,0.04718574955312853,-0.13960622700512382,0.11443381251088988,0.0883016357105658,-0.07851473067746848,-0.09223551240988212,-0.08079364838804987,-0.1707327770729361,-0.13422874553527805,-0.08631429757896757,-0.08389398288377224,0.03455309784112349,-0.08198283373932132,-0.015278117644349647,-0.12611729192580004,-0.11582778936322749,-0.07320810419229187,-0.0740002755449111,-0.058699588246269245,0.27024882394076444,-0.12397810203016561,-0.11263730428594516,-0.11174135346845752,-0.0724630662225892,-0.11864990258819422,0.04028805154277657,-0.10995377220962828,-0.06029897303601511,-0.1266554934220711,0.05817555307121867,-0.07592537896327654,-0.0938333600859326,0.29668943084215943,-0.07479399543444813,0.008112028670225474,-0.04392209596792426,0.23555720973551034,-0.11173043233805825,0.03518030008904145,-0.13780612219137686,-0.11588784093305521,0.011037513467532364,-0.09975278338465973,0.04187715663195963,0.3114644221792913,-0.11530002802640466,-0.07877986335833652,-0.16987451087070024,-0.07253268495479184,-0.018488491971935552,-0.05230773879656401,-0.08158051118424907,-0.11734672341363092,-0.05124648065667643,0.019309685547500503,0.016969878196448455,-0.03756691626783476,0.0035323007075878537,-0.1384521649313959,-0.1481471678217667,-0.1280032785355851,0.04319457785807822,0.2815236032541633,0.3166289210951617,-0.06510990651495399,-0.0293512448954899,-0.07873882623950162,-0.02779404148692638,-0.012438395926633206,-0.0901999308425793,-0.09065916471574009,-0.0833215073858641,-0.07722919527508282,-0.10056921715827964,-0.056737944124469766,-0.04194579322085901,-0.0870633253856303,0.1043632640060141,0.019381948282992948,-0.055616759486448585,0.048808429898960115,0.04605351018536266,-0.02859596938970989,-0.047220039331935366,-0.05405474235354641,0.0044459343183752475,0.05689786050124635,0.02703422326962379,-0.006076660071058578,-0.0224764403123401,0.10774472815720415,-0.03627033314470091
binance-bridged-usdt-bnb-smart-chain_usd,0.002072410089988436,-0.06619182666381182,-0.0417293465629212,-0.018617618786936126,0.06964112366203601,-0.06243256586461384,0.2172320261984144,0.8396236704960723,1.0,0.04199607230522349,0.056371112278833554,-0.03577943230621333,-0.07491605051532894,0.039658404216203695,-0.06432568921034046,0.02509359409072103,,0.03158751308311624,0.08984498869988669,0.01986203840196474,0.051586290987649254,0.03754786161718217,-0.10486782537455276,-0.040706296877825836,0.04090692826318477,-0.04260655768321909,0.08927828987107998,0.12564611404364606,0.017079171051865044,-0.023924504343241244,0.032505257042058956,0.03471289742414751,0.10442995406974354,-0.03714486595330083,-0.0033306608045081255,0.11637597934571967,-0.03321688065799705,-0.021199018171112825,-0.05372970064081794,-0.06663544653020646,-0.018263412173442902,0.028039528182849334,-0.040753147573201726,-0.03562702992072706,-0.03216561673844263,-0.00729423611017589,-0.05331622753139092,0.04409334392004825,-0.04417038024302503,0.02382753701841038,-0.04370892248174196,0.05850913665132143,-0.10276552232123823,-0.022125575894660465,-0.02807915215756199,-0.017618464953686415,0.29266004263918605,-0.017466177439742943,0.08556062198476139,0.043320807217536665,0.21379409570832272,-0.0531624505859984,0.02347032605590884,-0.07871867244857675,-0.03139534352611705,0.11434881729130862,-0.07009977776833488,0.18371970771460677,0.3064727788454316,-0.025915965639405323,0.03237561925601545,-0.09100469373005794,-0.03679833084025054,0.06699347138438196,0.06240112957199696,0.0333558385177622,-0.03657817398327021,0.015648205386372082,0.06344416959133388,-0.02118546072889052,0.030686619960389912,0.18027630692126378,-0.10437814003517315,-0.08216068833117007,-0.06199618680572651,0.06195510807052176,0.3323704745550864,0.19119143138804667,0.00010669449791858967,0.0004958829426883495,0.036770231089075664,0.056893291635327324,-0.020509049032965583,-0.046278966025389216,0.01742641152303275,0.03511060354892291,0.03734963596728265,-0.00913557608653193,0.05756701650748026,0.0012888557983281189,-0.03348607920986649,0.10065064455930003,0.04184214337988988,-0.061254068105503455,0.028754915583208154,0.039501538036883034,-0.005049148643676122,-0.011480056038574712,-0.03248289541027872,-0.032154097261667125,0.002250760830659206,0.0019402604430668656,-0.013030006765680122,-0.014027942756322135,0.11991710346760995,-0.04650539615020772
binance-peg-weth_usd,0.829870829106762,0.7832398298350283,0.7605585070263444,0.8401460666765865,0.44662616570725505,0.8203236448103576,0.1736867590414578,-0.07120084773363386,0.04199607230522349,1.0,0.8036595995874343,0.7137656950425458,0.6583009403481253,0.8244991441253298,0.5040462216736982,0.6940396342836227,,0.9977488761605757,0.3489199993131039,0.793291359349653,0.8604502522344986,0.8237796799169531,0.7464409559638353,0.6148692501861779,0.05166655772938088,0.8625242738424898,0.1881298271545624,0.24437767435384317,0.718547218628221,0.8388982934221579,0.9991278066388694,0.16444600967786463,0.04455797600198004,0.6507095417905484,0.6508644853017059,-0.022921730277912767,0.0029213623618639033,0.05113471787744228,0.7087909539912111,0.45948833260082067,0.6018128091922667,0.8211068643958087,0.6157440768056657,0.14149724949509354,0.7975662096526093,0.852907268497538,0.6846931494515737,0.9982403665384039,0.6189932968213573,0.17544113652658172,0.7023256254718545,0.8232300312308528,0.5645052773940742,0.050121230866993854,0.4349309143750963,0.8015811338279952,0.5557121548509795,0.3304235025533774,0.7920679401134887,0.014921389892164775,-0.07558444523599941,0.8326622713056814,0.29065805484117024,0.8060582988422205,0.8028537742614807,0.532535135661941,0.6138361886968132,0.22144459485419152,-0.03947520831518024,0.7522991651770911,0.9966455067236226,0.8298589629812569,0.614178489472324,0.799637001870494,0.8192744907572036,0.9988456894682388,0.7144063435893949,0.7834148863096729,-0.03202918698870844,0.09048326586311989,-0.011436515408848701,0.2844675112934093,0.6915086264705618,0.5230336497138274,0.7741659708312661,0.05674034712399985,0.1149285908430119,0.038484766103399036,0.10674013158509073,0.7140222249882648,0.9984966693091395,0.42127132424797376,0.5830959847389307,0.6796795567172115,0.9971691435807443,0.8273618265112235,0.9981130716576136,0.7983830843065021,0.9954364104947766,0.4845513990308813,0.3410611168526886,0.03294643361409571,0.04560851808688428,0.04613592244807184,0.019623673515617075,-0.008885728727092264,0.07941402041843118,-0.004536904316590551,0.045194830949617064,0.017339847131999823,0.04072014046689828,-0.04327663395294379,0.03779444317475049,0.08352900319852141,0.03074166363463243,0.13273570703718865
